time,X_value,Y_value,Z_value,delta_t
0,0,0,0,0
0.115,-0.23155,0.12258,10.1063,0.115
0.351,-0.25879,0.10896,10.06544,0.236
0.552,-0.31327,0.20431,9.95647,0.201
0.718,-0.28603,0.19068,9.99734,0.166
0.969,-0.25879,0.14982,10.05182,0.251
1.172,-0.24517,0.14982,10.1063,0.203
1.318,-0.23155,0.14982,10.09268,0.146
1.518,-0.25879,0.12258,10.14716,0.2
1.731,-0.35413,0.09534,10.05182,0.213
