time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.116,-0.27241,0.12258,10.02458
0.425,-0.24517,0.13620,10.05182
0.802,-0.24517,0.09534,10.14716
0.965,-0.19068,0.13620,10.05182
1.479,1.11687,0.01362,10.11992
1.773,3.73198,-0.01362,9.11201
2.005,5.16211,-0.05448,8.37651
2.167,6.55139,-0.04086,7.35499
2.399,7.42309,-0.04086,6.27898
2.567,7.72274,-0.05448,5.96571
2.770,7.77722,-0.06810,5.76141
2.966,7.34137,-0.02724,6.18364
3.166,5.66606,-0.01362,7.70912
3.463,3.28250,0.01362,9.15287
3.566,1.11687,-0.01362,10.44681
3.771,0.06810,0.09534,10.21526
4.237,-0.24517,0.10896,10.11992
4.384,-0.25879,0.09534,10.02458
4.600,-0.25879,0.21793,10.16078
